name,rank,brewery,style,n_ratings,avg_rating,beer_info_page,abv,BA_official_score,ranking_vs_all,rating_deviation,location,status,last_rated,date_added,n_wants,n_gots,country,state,style_family,substyle,notes
Weizenbock,11,KC Bier Co.,Bock - Weizenbock,25,4.12,/beer/profile/34069/113451/,7.25,91.0,8354,8.74,Missouri,Active,"Aug 12, 2021",2014-02-20,2,1,USA,Missouri,Bock,Weizenbock,"This is a pale Doppel wheat bock similar in taste to our Hefeweizen, but with intensified flavors and body to the higher starting gravity (18°Plato)."
Moonglow Weizenbock,12,Victory Brewing Company - Downingtown,Bock - Weizenbock,1478,4.05,/beer/profile/345/1008/,8.7,90.0,8522,10.86,Pennsylvania,Active,"Nov 15, 2020",2001-12-01,157,167,USA,Pennsylvania,Bock,Weizenbock,None
Ladenburger Weizenbock Hell,13,Brauerei Ladenburger,Bock - Weizenbock,88,4.05,/beer/profile/6784/137875/,7.4,90.0,9365,8.4,Germany,Active,"Feb 28, 2022",2014-09-19,7,9,Germany,,Bock,Weizenbock,"Honored as one of the World's best Weizenbock beers.  The Weizenbock from the Ladenburger brewery, which exists since 1789 and is now managed by Karl Friedrich Ladenburger in the 8th generation, is a beer that has received multiple awards from the World Beer Cup! It is a classic, top-fermented, golden yellow strong beer, which is fermented traditionally in the bottle. The foam is particularly fine-pored, very stable and creamy. In appearance, one finds a strong golden-yellow color with beautiful, natural haziness. The smell is fruity, with a trace of banana flavor. In the first sip, this beer specialty is balanced, full-bodied, sparkling and rounded - the malt character is balanced and aromatic. In the aftertaste, it is very mild and makes you want another sip, especially so on cold winter days."
Tweiss,14,Gneiss Brewing Company,Bock - Weizenbock,25,4.06,/beer/profile/33060/110469/,7.0,90.0,10550,8.13,Maine,Active,"Jan 12, 2022",2014-01-14,0,3,USA,Maine,Bock,Weizenbock,None
Altvater Weissbierbock,15,Brauerei Bischofshof,Bock - Weizenbock,23,4.04,/beer/profile/5755/244137/,7.1,89.0,11348,7.18,Germany,Active,"May 10, 2022",2016-08-10,1,4,Germany,,Bock,Weizenbock,None
Jeff's Bavarian Ale,16,Maisel & Friends,Bock - Weizenbock,53,3.99,/beer/profile/59743/106506/,7.1,89.0,12440,9.27,Germany,Active,"Jul 08, 2021",2013-11-25,3,19,Germany,,Bock,Weizenbock,"An interpretation of a typical Bavarian wheat, refined with a little bit more hops and the intense aroma of our very own wheat-beer yeast. Bold and surprising. Typical but yet so different. Deep notes of black currant play well with hints of oriental spices. A tasty treat for all occasions."
Hopf Weisser Bock,17,Weissbierbrauerei Hopf,Bock - Weizenbock,71,3.97,/beer/profile/1357/3673/,7.0,89.0,13137,7.05,Germany,Active,"May 18, 2021",2002-05-13,8,2,Germany,,Bock,Weizenbock,None
Restless,18,Tree House Brewing Company,Bock - Weizenbock,16,3.96,/beer/profile/28743/579097/,8.2,88.0,14712,11.36,Massachusetts,Active,"Apr 29, 2022",2021-11-28,0,1,USA,Massachusetts,Bock,Weizenbock,None
Summer Daze,19,Red Lodge Ales,Bock - Weizenbock,14,3.95,/beer/profile/7122/129618/,7.5,88.0,15171,8.1,Montana,Active,"Sep 01, 2021",2014-07-19,1,1,USA,Montana,Bock,Weizenbock,"Summer Daze is a big Doppelweiss. Notes of Banana and Clove are first on the tongue but it has a nice dry, lemony finish. This beer is brewed in the Bavarian tradition of big flavored wheat beer. Just the thing for a bright and warm mountain day."
Heller Weizenbock,20,Brauerei Michael Plank,Bock - Weizenbock,163,3.94,/beer/profile/5943/36326/,7.5,88.0,14394,10.15,Germany,Active,"Apr 25, 2022",2007-04-12,12,6,Germany,,Bock,Weizenbock,Original Gravity 18.9 Plato Bitterness (IBU) 15 Color: 17 EBC  Awarded with 7 WORLD BEER CUP MEDALS.
Der Weisse Bock,21,Mahr's Bräu,Bock - Weizenbock,168,3.92,/beer/profile/428/1307/,8.5,88.0,15389,10.2,Germany,Active,"Sep 05, 2021",2001-08-20,15,3,Germany,,Bock,Weizenbock,None
Augustus 8,22,Brauhaus Riegele,Bock - Weizenbock,18,3.9,/beer/profile/5850/134388/,8.0,87.0,16703,11.28,Germany,Active,"Nov 23, 2021",2014-08-22,1,6,Germany,,Bock,Weizenbock,"Enjoy the aromas of the Augustus 8 brewing specialty. This strong beer specialty owes its fruity 8 percent to the Riegele two-mash process with a mixture of Pilsener malt, wheat malt and Munich malt as well as the top-fermenting unique yeast.  NOT the same beer as Riegele Augustus weizen doppelbock"
Dunkler Weizenbock,23,Brauerei Michael Plank,Bock - Weizenbock,194,3.9,/beer/profile/5943/36170/,7.9,87.0,16436,11.28,Germany,Active,"May 15, 2022",2007-04-01,17,8,Germany,,Bock,Weizenbock,14 IBU
Kuchlbauer Aloysius,24,Weissbierbrauerei Kuchlbauer,Bock - Weizenbock,20,3.85,/beer/profile/3686/15473/,7.2,87.0,18484,7.79,Germany,Active,"May 29, 2021",2004-01-19,2,3,Germany,,Bock,Weizenbock,None
Hofbräu Weizenbock,25,Hofbräuhaus Pittsburgh,Bock - Weizenbock,13,3.83,/beer/profile/19587/54036/,7.8,87.0,18882,19.58,Pennsylvania,Active,"Jun 21, 2021",2009-11-11,0,0,USA,Pennsylvania,Bock,Weizenbock,None
Miracle,26,Union Craft Brewing Company,Bock - Weizenbock,36,3.86,/beer/profile/29377/108347/,7.8,87.0,18239,9.59,Maryland,Active,"Jan 08, 2021",2013-12-17,2,5,USA,Maryland,Bock,Weizenbock,None
Bamberger Der Weisse Bock,27,Maisel Bräu Bamberg GmbH,Bock - Weizenbock,11,3.81,/beer/profile/8346/41805/,8.5,86.0,19308,8.14,Germany,Active,"Jul 03, 2020",2008-03-26,0,0,Germany,,Bock,Weizenbock,None
Erdinger Weissbier Pikantus,28,Erdinger Weissbräu,Bock - Weizenbock,558,3.87,/beer/profile/703/2646/,7.3,87.0,17998,10.08,Germany,Active,"May 21, 2022",2002-01-28,40,99,Germany,,Bock,Weizenbock,"ERDINGER Pikantus is already a legend during the “strong beer season”. But with its complex symphony of aromas, it also stimulates the taste buds – making it a perfect aperitif.  With an ABV of 7.3% and an original wort of 16.7°P, this bock beer is ERDINGER Weissbräu’s strongest contender.  For a true Bavarian aperitif, divide a bottle of ERDINGER Pikantus between two connoisseur glasses – with its dark color and smooth creamy head, Pikantus is already a feast for the eyes. The flavor that develops on the palate is well-rounded and malty with a hint of nutmeg and fine nougat. The sparkling nature of ERDINGER Pikantus harmonizes perfectly with its slightly sweet character, as well as its soft and delicate finish."
Face Plant,29,"Bayern Brewing, Inc. / Edelweiss Bistro",Bock - Weizenbock,74,3.86,/beer/profile/605/54452/,7.5,87.0,18352,12.18,Montana,Active,"Sep 17, 2021",2009-12-01,2,8,USA,Montana,Bock,Weizenbock,"Since we brew beer in the Bavarian tradition at Bayern (which means Bavaria in German) our list of beer styles would not be complete without our most recent addition: Face Plant Doppelweizen. This top-fermented, unfiltered Wheat Bock beer is the counterpart to Bayern’s famous Doppelbock Lager and is decoction-brewed, a technique used often in Bavaria but seldom in the US. The recipe uses five types of malt (Wheat, Pilsener, Carmel, Munich and Chocolate), and has an o.g. of > 17 % Plato, producing a stout 7.5 % Alc. by Vol. As with all Bayern wheat beers, Face Plant surprises with its complex flavor. German Hallertauer Perle hops give this hearty Bock beer a perfectly balanced sweetness."
Weizenbock Grande Cuvée,30,Les Trois Mousquetaires,Bock - Weizenbock,126,3.86,/beer/profile/11056/44939/,11.0,87.0,18400,11.4,Quebec,Active,"Feb 04, 2022",2008-09-21,7,16,Canada,Quebec,Bock,Weizenbock,"A dark wheat beer, hearty and top-fermented, inspired by the style traditionally brewed in Munich, Germany. This Weizenbock will seduce you with its lush flavors reminiscent of candied fruits, banana, and maple syrup."
Weizenbock,31,Rentsch Brewery,Bock - Weizenbock,15,3.75,/beer/profile/43548/242607/,5.7,86.0,21301,5.87,Texas,Active,"Nov 28, 2021",2016-07-30,0,3,USA,Texas,Bock,Weizenbock,None
Bavarian-Styled Doppel Weizen,32,Lagunitas Brewing Company,Bock - Weizenbock,740,3.82,/beer/profile/220/73131/,8.7,86.0,20518,13.61,California,Active,"Dec 01, 2020",2011-09-14,24,67,USA,California,Bock,Weizenbock,This special brew was designed with the help of our Freistaat Bayern brothers who also built the brewhouse upon which we brewed it. It's a new twist on an old tradition!
Volks Weizenbock,33,Appalachian Brewing Company,Bock - Weizenbock,59,3.79,/beer/profile/1336/7402/,7.2,86.0,21278,10.03,Pennsylvania,Active,"Oct 29, 2020",2002-12-04,1,4,USA,Pennsylvania,Bock,Weizenbock,None
Cherry Double Dunkel,34,Badger Hill Brewing Company,Bock - Weizenbock,27,3.71,/beer/profile/29442/106189/,9.0,85.0,23248,10.51,Minnesota,Active,"Oct 24, 2021",2013-11-23,1,7,USA,Minnesota,Bock,Weizenbock,Formerly Wanderlust Series #2: Cherry Double Dunkel
Snow Weizen,35,Denen Plaza Kawaba Brewery,Bock - Weizenbock,47,3.49,/beer/profile/23623/91695/,5.0,81.0,28174,14.04,Japan,Active,"Apr 10, 2022",2013-03-27,1,15,Japan,,Bock,Weizenbock,None
St. Blasius Weizenbock,36,Aktienbrauerei Kaufbeuren AG,Bock - Weizenbock,37,3.45,/beer/profile/1623/27464/,7.2,80.0,28362,15.94,Germany,Active,"Mar 29, 2022",2005-12-23,0,0,Germany,,Bock,Weizenbock,None
Bananas Foster,37,Buffalo Bayou Brewing Co,Bock - Weizenbock,24,3.36,/beer/profile/28255/180665/,8.6,80.0,28692,16.37,Texas,Active,"Jul 20, 2020",2015-07-07,0,14,USA,Texas,Bock,Weizenbock,None
Doppelsticke,1,Uerige Obergärige Hausbrauerei,Altbier,720,4.1,/beer/profile/1923/24042/,8.5,91.0,6220,11.22,Germany,Active,"May 25, 2022",2005-06-02,112,53,Germany,,Altbier,,"Since 2005, Uerige has also been brewing a special strong beer for the American market. Our Doppelsticke has a remarkable 8.5% abv and yet tastes unmistakable: it truly is the yummy droplet!  After the initial herbal aroma of hops, which tends to surprise the palate, there follows a firework of flavor sensations ranging from caramelized sugar, malts, and herbs to rich touches of dark chocolate and rum, only to eventually fade gently and lustrously.  True aficionados tend to simply ignore our recommended minimum shelf life of eight weeks – rather, they swear by storing their Doppelsticke in the cellars for an entire year first."
Alt,2,Brauerei Schumacher,Altbier,63,4.14,/beer/profile/2652/6420/,4.6,92.0,5950,8.7,Germany,Active,"Apr 18, 2022",2002-10-04,45,8,Germany,,Altbier,,"Unser Schumacher Alt ist ein würziges Vollbier, das nach alter Tradition gebraut wird. Die obergärige Spezialität besticht durch Ihren schlanken Geschmack mit einer leicht malzigen Note und die erfrischende Wirkung reiner Gärungskohlensäure.   Die edlen Aromahopfen aus der Hallertau und dem Tettnang sorgen für die feine Bittere und das abgerundete Aroma. Und eine glänzende Bernsteinfarbe sowie der kräftige Schaum lassen schon auf den ersten Blick erkennen: Bei unserem Altbier wurde das Zusammenspiel von Hopfen, Malz und traditioneller Schumacher-Hefe perfektioniert.   Auf Ihr Wohl!"
Copper,3,The Olde Mecklenburg Brewery,Altbier,460,4.08,/beer/profile/19247/49474/,4.8,91.0,7199,12.99,North Carolina,Active,"May 11, 2022",2009-04-29,79,137,USA,North Carolina,Altbier,,"OMB’s flagship, Copper, is an authentic Düsseldorf style “Altbier” or Amber Ale. There are no crazy flavors or gimmicks with Copper – its full-flavored start transitions to a smooth, balanced, easy-drinking finish. It’s the beer that tastes like beer."
Füchschen Alt,4,Brauerei Im Füchschen,Altbier,89,4.1,/beer/profile/3805/12716/,4.8,91.0,7082,12.68,Germany,Active,"Sep 30, 2021",2003-09-15,54,13,Germany,,Altbier,,None
Sticke,5,Uerige Obergärige Hausbrauerei,Altbier,530,4.07,/beer/profile/1923/16146/,6.0,91.0,7647,10.07,Germany,Active,"Feb 01, 2022",2004-02-27,77,46,Germany,,Altbier,,None
Estimation,6,Suarez Family Brewery,Altbier,32,4.15,/beer/profile/41980/465909/,4.8,91.0,6692,4.58,New York,Active,"May 27, 2022",2020-02-10,0,1,USA,New York,Altbier,,None
Altbier,7,Notch Brewing,Altbier,20,4.19,/beer/profile/22723/429181/,4.5,91.0,6641,3.34,Massachusetts,Active,"May 15, 2022",2019-07-20,0,0,USA,Massachusetts,Altbier,,"Düsseldorf style Altbier: A copper colored ale that feels like a lager. Sweet vanilla balances earthy snappy bitterness with rounded notes of dark crusty bread and caramel. Single decoction, open fermented, extended cold lagering time, natural carbonation. The Düsseldorf style of Altbier tends to display more bitterness and less sweetness than other German Altbier."
Methusalem Sour Altbier,8,The Monarchy,Altbier,63,4.08,/beer/profile/33121/103443/,10.0,91.0,8332,8.09,Germany,Active,"Sep 27, 2021",2013-10-26,6,5,Germany,,Altbier,,"An “Adambier”, also known as Dortmunder Altbier; similar to a sourish Doppelsticke."
Stet,9,Fox Farm Brewery,Altbier,28,4.1,/beer/profile/45832/518902/,5.0,90.0,8844,6.59,Connecticut,Active,Yesterday at 12:36 AM,2020-11-18,0,0,USA,Connecticut,Altbier,,"We’ve expressed our love and admiration for historic brewing cultures before and like Kölsch in nearby Cologne, Altbier has withstood centuries of trends and innovations to remain the unique standard-bearer for a proud beer drinking city. Brewed with an ale yeast we’re growing increasingly fond of and familiar with and lagered for eight weeks, it delivers malt richness and complexity while remaining crisp and eminently drinkable."
Original Schlüssel,10,Hausbrauerei Zum Schlüssel,Altbier,71,4.04,/beer/profile/2660/6406/,5.0,90.0,9970,11.14,Germany,Active,"Jan 08, 2022",2002-10-03,22,5,Germany,,Altbier,,None
Donnyllama Doppelsticke,11,Holy Mountain Brewing Company,Altbier,15,4.15,/beer/profile/36949/292715/,8.5,90.0,8834,5.78,Washington,Active,"May 14, 2022",2017-07-21,0,0,USA,Washington,Altbier,,"Brewed in collaboration with our friends from Engine House 9 in Tacoma with Pilsner, Munich and dark specialty malts. Hopped with Hallertau and Tettnang. This strong German Alt-style beer went under an extended cool fermentation with our favorite Kolsch yeast. After a period lagering, it was transferred into former Midnight Still bourbon barrels and left to age for 2 months."
At Ease,12,Tree House Brewing Company,Altbier,37,4.04,/beer/profile/28743/515077/,5.4,90.0,10683,6.19,Massachusetts,Active,"Feb 18, 2022",2020-10-26,1,0,USA,Massachusetts,Altbier,,"At Ease is our Altbier. Brewed with a complex assortment of Munich, Dark Munich, and Aromatic German malts, At Ease is constructed to be a hearty, robustly-flavored beer in an easy-drinking package. Following a cool top fermentation, At Ease is transferred to our large horizontal oak casks for further conditioning.  At Ease pours a dark brown color in the glass and puts forth flavors and aromas of rustic hearty malts, brown bread, hay, sturdy noble hops, and a kiss of oak softness. Robust, warming, and delicious indeed, At Ease is an authentic homage to old-time native German ale and is perfect for cool weather drinking."
High Sticke Alt,13,Summit Brewing Company,Altbier,40,4.02,/beer/profile/467/310759/,7.5,89.0,11341,6.72,Minnesota,Active,"Nov 27, 2021",2017-11-05,2,9,USA,Minnesota,Altbier,,"With big aromas of stone fruit and toffee, plus a slap shot of spicy hop flavor and assertive bitterness, Summit High Sticke Alt returns from an all-star season in 2017 to run the rink again this year. Cross-checking, throwing elbows, talking trash — the beer just does what needs to be done. Deep copper in color, traces of toast, caramel, and biscuit come from a complex blend of German malts, while a huge hop load and a long period of cold conditioning result in crisp, refreshing drinkability."
Altbier,14,Uerige Obergärige Hausbrauerei,Altbier,367,3.97,/beer/profile/1923/6355/,4.7,89.0,12708,12.85,Germany,Active,Sunday at 09:07 PM,2002-10-01,34,20,Germany,,Altbier,,"Uerige Alt is the most bittered beer in Germany. In spite of this (or just for that reason), this legendary Altbier from Düsseldorf is so full-bodied, aromatic and wholesome.  Our top-fermented specialty has been brewed since 1862 from barley malt, caramel malt, roasted malt, hops, water - and with our very special Uerige yeast.  Our Uerige Alt is regularly chosen among the ten best beers in Germany. It has an alcohol content of 4.7% and a minimum fresh date of eight weeks.  Unser Uerige Alt wird regelmäßig unter die zehn besten Biere Deutschlands gewählt. Es hat einen Alkoholgehalt von 4,7% und ein Mindestfrischedatum von acht Wochen."
Altbier,15,Dovetail Brewery,Altbier,20,4.02,/beer/profile/45802/379194/,4.2,89.0,12376,4.23,Illinois,Active,"Apr 10, 2022",2018-11-03,3,2,USA,Illinois,Altbier,,Our version of the Düsseldorf classic.
Kaiserpfalz,16,Schilling Beer Co.,Altbier,11,4.08,/beer/profile/32906/554919/,5.1,89.0,11704,3.43,New Hampshire,Active,"May 28, 2022",2021-06-19,0,0,USA,New Hampshire,Altbier,,"Named after the 10th-century castle ruins in Düsseldorf, Kaiserpfalz is dark amber in color with an off white head, marked by toasted grain aromas, light hop character and dark fruit notes that intensify as the beer warms. Appropriate malt richness is present and the finish is dry, characterized by subtle bitterness and a spicy, modest herbal hop salutation at the end."
Ten Years Alt,17,Victory Brewing Company - Downingtown,Altbier,267,3.93,/beer/profile/345/27688/,8.5,88.0,14832,10.69,Pennsylvania,Active,"Nov 27, 2021",2006-01-05,9,5,USA,Pennsylvania,Altbier,,"A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US."
Ein Dussel Reverence Project,18,Springdale Beer Co.,Altbier,15,4.02,/beer/profile/48475/272928/,5.0,89.0,12828,6.47,Massachusetts,Active,"Apr 05, 2021",2017-03-19,0,0,USA,Massachusetts,Altbier,,"Brewed with 100% specialty malts from our small German supplier and hopped with Mittelfruh, this beer is a tribute to the ages before the onslaught of golden lager."
Über Alt,19,Rush River Brewing Company,Altbier,90,3.91,/beer/profile/9877/58295/,8.5,88.0,16038,13.81,Wisconsin,Active,"Nov 11, 2021",2010-05-12,13,7,USA,Wisconsin,Altbier,,"Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark."
Crooked Coast Altbier,20,Driftwood Brewery,Altbier,112,3.89,/beer/profile/18858/49979/,5.1,87.0,16900,10.28,British Columbia,Active,"Dec 29, 2021",2009-05-23,7,13,Canada,British Columbia,Altbier,,"Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast."
Double Bag,21,Long Trail Brewing Co.,Altbier,1778,3.87,/beer/profile/94/273/,7.2,87.0,18039,12.14,Vermont,Active,"Apr 16, 2022",1999-03-08,102,375,USA,Vermont,Altbier,,"This malty, full-bodied double alt is also known as “Stickebier” – German slang for “secret brew”. Long Trail Double Bag was originally offered only in our brewery taproom as a special treat to our visitors. With an alcohol content of 7.2%, please indulge in moderation. The Long Trail Brewing Company is proud to have Double Bag named Malt Advocate’s “Beer of the Year” in 2001. Malt Advocate is a national magazine devoted to “expanding the boundaries of fine drinks”. Their panel of judges likes to keep things simple, and therefore of thousands of eligible competitors they award only two categories: “Imported” and “Domestic”. It is a great honor to receive this recognition.  33 IBU"
Amber,22,Altstadt Brewery,Altbier,35,3.89,/beer/profile/49210/338476/,4.8,87.0,16996,11.31,Texas,Active,"Mar 29, 2022",2018-04-14,0,3,USA,Texas,Altbier,,"Our Amber (Altbier) is made with the highest quality German malted barley. The result is a beverage with a brilliant amber color and a slight toasty caramel flavor. We carefully balance the malt with the sweet citrus bouquet of Hallertau Saphir hops and the unique spicy aroma and bitterness of Herkules hops. Top-fermenting yeast finishes out this clean, crisp beer rivaling the original ales of Dusseldorf, and it is brewed right here in Texas!  17 IBU"
Deer Lord,23,Historic Brewing Company,Altbier,11,3.95,/beer/profile/33283/117388/,5.0,88.0,15428,11.14,Arizona,Active,"Dec 29, 2020",2014-04-05,0,1,USA,Arizona,Altbier,,None
Black Metal (Ghost 968),24,Adroit Theory Brewing Company,Altbier,16,3.92,/beer/profile/31535/551854/,4.9,88.0,16138,4.85,Virginia,Active,"Jan 02, 2022",2021-05-30,1,1,USA,Virginia,Altbier,,"Crisp, malt forward, and deceptively light bodied with a dark amber hue and ester notes of red stone fruit."
Oak Fermented Altbier,25,OEC Brewing (Ordinem Ecentrici Coctores),Altbier,12,3.92,/beer/profile/34667/517043/,4.8,88.0,16249,6.63,Connecticut,Active,"Mar 24, 2022",2020-11-07,1,0,USA,Connecticut,Altbier,,"Our oak fermented Altbier is brewed using a traditional German step infusion mash and hopped with Spalt Select hops. Fermentation starts in open tanks for one week, followed by oak for an additional three weeks. It is then cold matured for four weeks prior to packaging."
Valkyrie,26,Enegren Brewing Company,Altbier,75,3.85,/beer/profile/25260/71538/,6.2,87.0,18811,10.39,California,Active,"Jun 04, 2022",2011-07-31,1,6,USA,California,Altbier,,"Valkyrie is brewed following the traditions of one of the oldest beer styles in Germany - alt literally means ""old"" in German. However our version is a little stronger, maltier and darker than most of its German counterparts. Brewed with dark munich and pilsner malts imported from Germany, Valkyrie has a smooth toasty and caramel taste with hints of chocolate and sweetness balanced by a hefty dose of German Nobel hops."
Archean,27,Gneiss Brewing Company,Altbier,12,3.9,/beer/profile/33060/227054/,5.2,87.0,16784,6.15,Maine,Active,"Dec 25, 2020",2016-04-28,0,2,USA,Maine,Altbier,,None
Série Signature Sticke Alt,28,Les Trois Mousquetaires,Altbier,115,3.84,/beer/profile/11056/56209/,6.0,86.0,19359,10.42,Quebec,Active,"Feb 14, 2022",2010-02-19,6,17,Canada,Quebec,Altbier,,"Malts: Pilsner, Pale, Caramel 60, Caramel 160/  74 IBU / Hops: Magnum, N Brewer, Hallertau OG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging"
Jrön Grünhopfensticke,29,Uerige Obergärige Hausbrauerei,Altbier,41,3.84,/beer/profile/1923/215231/,6.7,86.0,19151,9.64,Germany,Active,"Jun 01, 2022",2016-02-16,2,4,Germany,,Altbier,,"A collaboration of Uerige Obergärige Hausbrauerei and Kehrwieder Kreativbrauerei.  Brewed in Germany. Cold shipped by tank container and canned fresh in Oxford, CT. Jrön is die Hopfung."
Alt,30,Chuckanut Brewery,Altbier,24,3.85,/beer/profile/47644/52516/,5.0,87.0,18573,6.75,Washington,Active,"Jan 18, 2021",2009-09-10,0,1,USA,Washington,Altbier,,None
Methusalem Holunderheimer,31,The Monarchy,Altbier,21,3.85,/beer/profile/33121/168763/,10.0,87.0,18523,6.49,Germany,Active,"Jan 19, 2021",2015-04-17,1,2,Germany,,Altbier,,"Methusalem is The Monarchy’s perilously drinkable version of a classic “Adambier”- the slightly sour & hoppy strong Altbier that enjoyed great popularity in 19th-century Dortmund. Methusalem Holunderheimrr goes one step further with the addition of sweet, dark, juicy elderberries."
Trendler Alt,32,Tired Hands Brewing Company,Altbier,31,3.84,/beer/profile/28383/213779/,5.0,87.0,19059,6.25,Pennsylvania,Active,"Feb 13, 2022",2016-02-07,1,0,USA,Pennsylvania,Altbier,,"Alt Bier brewed with Munich, Vienna & Caramel malts & dry hopped with Cascade."
Altbier,33,Occidental Brewing Co.,Altbier,58,3.83,/beer/profile/26607/97113/,5.3,86.0,19680,11.75,Oregon,Active,"Apr 04, 2022",2013-07-27,3,7,USA,Oregon,Altbier,,"Our take on Dusseldorf’s broad style features our most complex grain bill, which produces a malty, amber beer with a lot of flavor. Saphir hops give it a spicy, noble aroma and delicious hop profile. Definitely on the hoppy side for this style of beer, but still smooth and well-balanced.  50 IBU"
Sticke Alt,34,Heater Allen Brewing,Altbier,28,3.84,/beer/profile/16378/105670/,5.8,87.0,18994,9.9,Oregon,Active,"Feb 15, 2021",2013-11-17,1,1,USA,Oregon,Altbier,,"A German style strong alt that is traditionally made in the fall and the winter. It is normally darker, stronger and roastier than a typical alt.  This beer was brewed by members of the Pink Boots Society. Malt was donated by Country Malt Group. Hops, yeast and labor were donated by Heater Allen Brewery. The money raised from the sale of this beer will be donated to the PBS for their scholarship fund."
Iron Works Alt,35,Metropolitan Brewing,Altbier,170,3.82,/beer/profile/19127/67215/,5.5,86.0,20361,12.3,Illinois,Active,"Feb 14, 2021",2011-03-15,11,13,USA,Illinois,Altbier,,"An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.  45 IBU"
Thunderbolt Red Ale,36,Main Street Brewery / Turoni's Pizza,Altbier,23,3.84,/beer/profile/639/22796/,,,18869,11.46,Indiana,Active,"Apr 03, 2022",2005-03-26,0,6,USA,Indiana,Altbier,,None
Dusseldorfer Altbeer,37,Bohemian Brewery,Altbier,10,3.87,/beer/profile/1949/132318/,5.3,87.0,17607,6.98,Utah,Active,"Apr 06, 2022",2014-08-06,0,0,USA,Utah,Altbier,,None
Whiskey Barrel Aged Sticke Alt,38,Dru Bru,Altbier,17,3.84,/beer/profile/39742/261750/,9.5,87.0,18740,7.55,Washington,Active,"Dec 23, 2021",2016-12-30,0,0,USA,Washington,Altbier,,"A dark roasted ale that boasts rich malt flavors of caramel, chocolate, and coffee with piney hop undertones. Brewed in 2018, then aged for 8 months in Woodford Reserve barrels to pick up notes of vanilla, oak, and bourbon."
Alt 1848,39,Utepils Brewing Co,Altbier,37,3.82,/beer/profile/48325/266789/,5.4,86.0,19889,8.9,Minnesota,Active,"Jan 01, 2022",2017-02-04,0,1,USA,Minnesota,Altbier,,None
Bolten Alt,40,Bolten Brauerei,Altbier,22,3.8,/beer/profile/7706/25777/,4.8,86.0,20270,8.42,Germany,Active,"Dec 28, 2021",2005-09-10,1,7,Germany,,Altbier,,None
Olde Brick Alt,41,Kutztown Tavern,Altbier,16,3.79,/beer/profile/1644/4656/,5.29,86.0,20276,7.65,Pennsylvania,Active,"Apr 29, 2022",2002-06-24,1,1,USA,Pennsylvania,Altbier,,None
Balt Altbier,42,Union Craft Brewing Company,Altbier,203,3.78,/beer/profile/29377/82924/,5.5,85.0,22113,10.05,Maryland,Active,"Mar 11, 2022",2012-07-06,8,42,USA,Maryland,Altbier,,"A Brewing Tradition  This German-style Altbier is our nod to an old world, old school ale. The word “Alt” is German for “old”, and refers to the traditional style of brewing before lager yeast was discovered. Balt is a dark, copper colored brew with a creamy head, a gentle bitterness and a clean, dry finish. Prost Hon!  BITTERNESS (IBU): 45 COLOR: Copper/Amber MALT: Pilsner, Munich,Cara Munich, Carafa HOPS: Perle,Tettnang YEAST: German Alt"
Rhine Heights,43,Vintage Brewing Company,Altbier,13,3.79,/beer/profile/22243/71160/,5.7,86.0,20101,8.71,Wisconsin,Active,"Apr 19, 2022",2011-07-18,0,0,USA,Wisconsin,Altbier,,1.054 OG 43 IBUS
Boltens Ur-Alt,44,Bolten Brauerei,Altbier,20,3.78,/beer/profile/7706/30327/,4.8,86.0,20809,11.64,Germany,Active,"Oct 23, 2021",2006-05-06,4,3,Germany,,Altbier,,None
Simple Means,45,Jester King Brewery,Altbier,112,3.77,/beer/profile/24018/211376/,5.6,85.0,22350,10.61,Texas,Active,"Oct 09, 2020",2016-01-21,3,25,USA,Texas,Altbier,,None
Tempus Doble Malta,46,Cerveceria Primus,Altbier,35,3.77,/beer/profile/18412/46123/,7.0,85.0,21665,16.98,Mexico,Active,"Mar 02, 2022",2008-11-25,6,10,Mexico,,Altbier,,None
Ol' Woody Alt,47,Sawdust City Brewing Co.,Altbier,35,3.77,/beer/profile/26774/76425/,5.3,85.0,21668,8.75,Ontario,Active,"Jun 05, 2022",2011-12-17,0,7,Canada,Ontario,Altbier,,None
